id,companyName,numberOfEmployeesCategory,yearOfFoundation,website,email,phone,programmingLanguagesUsed,subIndustries,serviceIndustry,exportSalesCategory
1008600028423,"""ADDCODE"" S.R.L.",10-49,2008-05-28,https://www.addcode.nl/,info@addcode.md,+373 22855007,"['net', 'java', 'javascript', 'angular', 'netcore', 'react', 'c', 'php', 'python', 'csharp', 'sql']","['applicationtesting', 'applicationdevelopment', 'softwaredevelopment', 'artificialintelligence']","['automotive', 'healthmedical', 'constructionrealestate', 'financebanking']",100%
1013600038187,SMART DATA S.R.L.,50-249,2013-12-09,https://smartdata.solutions/ ,contact@smartdata.solutions,+373 69885000,"['php', 'sql', 'python', 'javascript', 'java', 'http', 'typescript', 'angular', 'html', 'css', 'lua', 'jquery', 'golang', 'laravel', 'react']","['softwaredevelopment', 'webdevelopment', 'webdesign', 'applicationdevelopment', 'applicationtesting', 'artificialintelligence', 'dataanalysisprocessing', 'blockchain', 'cybersecurity', 'erpcrm', 'itauditconsulting']","['agriculture', 'artsentertainmentmusic', 'automotive', 'bettinggambling', 'constructionrealestate', 'ecommerceretail', 'education', 'energynaturalresources', 'financebanking', 'healthmedical', 'hrrecruitment', 'telecommunications', 'tourismhospitalityleisure', 'transport']",75-99%
1012600038515,"Î.M. ""OCULEUS IT SERVICES"" S.R.L.",10-49,2012-12-04,www.oculeus.com,adamov@oculeus.com,+373 78477747,"['sql', 'python', 'javascript', 'typescript', 'angular', 'jquery', 'golang']",['dataanalysisprocessing'],['telecommunications'],100%
1013600013537,SOFTWARE MIND S.R.L.,50-249,2013-04-17,https://www.codefactorygroup.com/,ghenadie.gorincioi@softwaremind.com,+373 22000448,"['java', 'net', 'scala', 'react', 'angular', 'python', 'golang', 'netcore', 'c', 'javascript', 'typescript']","['applicationdevelopment', 'webdevelopment', 'softwaredevelopment', 'applicationtesting', 'others']","['financebanking', 'education', 'healthmedical', 'ecommerceretail']",100%
1002600023471,Î.C.S. ENDAVA S.R.L.,>249,2000-10-12,https://www.endava.com/,ChisinauOfficeAssistants@endava.com,+373 22806700,"['sass', 'netcore', 'ruby', 'php', 'c', 'net', 'sql', 'python', 'javascript', 'java', 'pl', 'csharp', 'http', 'typescript', 'angular', 'html', 'perl', 'css', 'lua', 'jquery', 'pascal', 'golang', 'laravel', 'react', 'scala']",['softwaredevelopment'],"['financebanking', 'telecommunications', 'healthmedical', 'ecommerceretail', 'transport', 'artsentertainmentmusicsmediamusic', 'tourismhospothersalothersyleisure']",100%
1005600058861,S.C. AG COMPUTER S.R.L.,10-49,2005-12-12,https://fusion.works/,info@fusionworks.md,+373 69210189,"['ruby', 'php', 'net', 'sql', 'python', 'javascript', 'java', 'typescript', 'angular', 'html', 'css', 'jquery', 'golang', 'laravel', 'react', 'scala']","['applicationtesting', 'softwaredevelopment']",['others'],75-99%
1008600046041,Î.M. INTHER SOFTWARE DEVELOPMENT S.R.L.,50-249,2008-09-17,https://isd-soft.com/,info@isd-soft.com,+373 22996170,"['c', 'net', 'python', 'javascript', 'java', 'angular', 'plc', 'golang']","['others', 'artificialintelligence', 'hardwareiot', 'softwaredevelopment', 'applicationdevelopment']",['others'],75-99%
1012600012832,STARLAB S.R.L.,50-249,2012-04-09,https://starlab.md/,mbaractari@starnet.md,+373 69533159,"['net', 'sql', 'python', 'css', 'angular', 'html']",['others'],['telecommunications'],0-25%
1003600101006,DOSARINFO S.R.L.,10-49,1999-02-08,www.optimum-web.com,info@optimum-web.com,+373 22517607,"['php', 'javascript', 'python']","['webdesign', 'softwaredevelopment']","['financebanking', 'manufacturing']",75-99%
1016600023872,KIVORK S.R.L.,>249,2016-08-01,-,info@kivork.md,+373 69587225,"['php', 'net', 'sql', 'python', 'java', 'javascript', 'laravel', 'html', 'css', 'jquery', 'golang', 'react', 'http', 'sass', 'typescript', 'csharp', 'netcore']","['dataanalysisprocessing', 'erpcrm', 'itauditconsulting', 'applicationdevelopment', 'others']","['transport', 'researchdevelopment', 'tourismhospitalityleisure']",100%
1015600037357,STEFANINI MOL S.R.L.,>249,2015-11-10,https://stefanini.com/en,Ion.Girleanu@stefanini.com,+373 22233003,"['netcore', 'ruby', 'php', 'c', 'net', 'sql', 'python', 'javascript', 'java', 'csharp', 'angular', 'html', 'css', 'laravel', 'react']","['dataanalysisprocessing', 'clouddatacenters', 'cybersecurity', 'applicationdevelopment', 'marketplace']","['others', 'computerequipmentservices', 'financebanking', 'hrrecruitment', 'ecommerceretail']",100%
